Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.0,Thu Sep 06 07:26:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Age: 43
Hobby: Lego 

The rise of the middle-aged toy fans.
👉 https://t.co/FwnahZY1DW https://t.co/tG9MCxaB7e",72
0.0,Thu Sep 06 07:00:13 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""People are going to think I'm some kinda weirdo."" 

@ChrisMcQueer_ talks about how he got into writing. https://t.co/WLC9CiBsNh",73
0.6696,Wed Sep 05 19:31:05 +0000 2018,0.703,0.0,0.297,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Do you know what a healthy vegan diet looks like? Take the #TrustMeImADoctor test! 🌱 https://t.co/nIXgcybiHo https://t.co/iEgLmAc71N,74
0.0,Wed Sep 05 19:04:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The DIY SOS team build a new home for the Dale Youth Boxing Club, with the aid of large construction companies, gen… https://t.co/F5KiZKhwLt",75
-0.3182,Wed Sep 05 18:05:04 +0000 2018,0.723,0.277,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","I'm still a human, I'm just lost. https://t.co/Fp0oGD4hud",76
0.651,Wed Sep 05 17:05:00 +0000 2018,0.622,0.086,0.292,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Looking for a little midweek treat? 

Nadiya’s tear and share caramel soda bread is a quick, easy and will no doubt… https://t.co/lKmiGHKU8s",77
0.3612,Wed Sep 05 16:41:33 +0000 2018,0.902,0.0,0.098,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCWomansHour: ""With chosen family you have people who will see you for who you are"" 😍🙏 

@ChloeGMoretz on the importance of having tho…",78
-0.5106,Wed Sep 05 16:01:06 +0000 2018,0.708,0.292,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂 Cupid must have been an absolute pervert.
#UpstartCrow https://t.co/F1lvGDfA7p",79
0.368,Wed Sep 05 14:47:24 +0000 2018,0.882,0.0,0.118,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcthree: FYI #KillingEve will be available on BBC Three iPlayer as a box set on the 15th of September. https://t.co/2CFEqZ9Pt1,80
0.6597,Wed Sep 05 13:56:50 +0000 2018,0.748,0.0,0.252,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbc5live: ❤️Rachael and the #YouMeBigC team talk about the importance of their podcast and friendship ❤️ https://t.co/sMUtA0VmKa,81
0.0,Wed Sep 05 13:56:26 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCOne: It’s About Time… #DoctorWho @bbcdoctorwho https://t.co/SQxiwLES61,82
0.4588,Wed Sep 05 13:06:03 +0000 2018,0.833,0.0,0.167,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","One town. One year. Two generations. Welcome to #TheMightyRedcar...

The Mighty Redcar | Thursday | 9pm | @BBCTwo

https://t.co/jPSPgpKckh",83
0.6908,Wed Sep 05 12:03:04 +0000 2018,0.725,0.0,0.275,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",".@Nadia_Sapphire was fat-shamed when she first started wrestling.
✊ She now promotes body positivity and being a to… https://t.co/ECc0CKFClB",84
-0.2695,Wed Sep 05 11:38:45 +0000 2018,0.733,0.172,0.095,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCR1: IT'S HAPPENING!!

@ArianaGrande is performing in the Live Lounge RIGHT NOW and kicking things off with the stunning No Tears Lef…",85
0.0772,Wed Sep 05 11:00:09 +0000 2018,0.942,0.0,0.058,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Boeing says Asia needs 240,000 pilots over next two decades.
If you need a job, you may want to consider training a… https://t.co/bCwIkgrjAy",86
-0.1027,Wed Sep 05 10:16:29 +0000 2018,0.746,0.134,0.119,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The family of Rachael Bland has confirmed that she died this morning. She inspired and touched the lives of many. R… https://t.co/apHlIPa34D,87
0.4019,Wed Sep 05 09:02:00 +0000 2018,0.881,0.0,0.119,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Back to school? So are we. 

Learn how #BBCBitesize can help you with your schoolwork and beyond throughout the yea… https://t.co/GWQnSk6YuL",88
-0.2263,Wed Sep 05 08:00:13 +0000 2018,0.872,0.128,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🐢🦋  These butterflies drink turtle tears to get sodium they need to survive. https://t.co/f4bcrj6iD8,89
0.0,Wed Sep 05 07:32:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",We imagine that other people are having much more sex than we are - and the reasons why are hardwired into our anim… https://t.co/XMih9Z49l2,90
0.8655,Wed Sep 05 07:03:05 +0000 2018,0.408,0.0,0.592,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Love fish and chips? You’ll love this! https://t.co/KEtoFsrttj,91
0.0,Tue Sep 04 19:31:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A 42.8 millisecond flash of the word “death” across a computer screen is enough to make us act differently. So what… https://t.co/RPT6s8A9B5,92
0.9054,Tue Sep 04 19:03:06 +0000 2018,0.615,0.0,0.385,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is monogamy outdated? Can you love more than one person? After years of respectable marriage, Joy and Alan are goin… https://t.co/iVjrJQjM6P",93
-0.1195,Tue Sep 04 18:32:01 +0000 2018,0.593,0.212,0.195,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🤖 @jimalkhalili explores the AI revolution, arguing we should see it as friend not foe. 

The Joy of AI | 9pm |… https://t.co/q6WOZb4Z17",94
-0.34,Tue Sep 04 18:06:10 +0000 2018,0.684,0.188,0.128,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","From the creator of Fleabag comes your new fav binge watch.

Killing Eve, coming soon to @BBCThree. https://t.co/s6MW7SkBKi",95
0.624,Tue Sep 04 16:06:05 +0000 2018,0.786,0.0,0.214,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","One of Britain’s most successful actors, @rizmc, opens up about dual identities, stereotypes and representation. https://t.co/MWKycuZ7e2",96
-0.5423,Tue Sep 04 13:07:03 +0000 2018,0.8,0.2,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",We all know a 'ghost member' or someone who overshares. Here's how to avoid being 'that person' in a group chat...… https://t.co/6HAxtKKnav,97
0.5994,Tue Sep 04 12:51:26 +0000 2018,0.794,0.0,0.206,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcpress: Congratulations @_RichardMadden, @MissKeeleyHawes, @Jed_Mercurio - @BBCOne’s #Bodyguard is the biggest new drama on British T…",98
0.3612,Tue Sep 04 12:36:34 +0000 2018,0.884,0.0,0.116,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcwritersroom: Mike Bartlett is an award-winning writer with credits including hit drama #DoctorFoster and the stage and screen versio…,99
0.0,Tue Sep 04 12:16:24 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCEarth: #NationalWildlifeDay by numbers. 

Find out more 👉 https://t.co/xoviRzi43h https://t.co/VzbUu0NfV6",100
-0.2263,Sun Sep 09 23:36:09 +0000 2018,0.917,0.083,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",101
0.6705,Sun Sep 09 14:00:00 +0000 2018,0.718,0.0,0.282,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,102
0.4215,Sat Sep 08 16:20:43 +0000 2018,0.851,0.0,0.149,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,103
